Column1,Column2,Column3,Column4,Column5,Column6
nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000103,Fairuza Balk,1974,\N,"actress,soundtrack,archive_footage","tt0115963,tt0181875,tt0089908,tt0120586"
nm0000106,Drew Barrymore,1975,\N,"producer,actress,director","tt0160127,tt0151738,tt0343660,tt0120631"
nm0000117,Neve Campbell,1973,\N,"actress,producer,writer","tt0117571,tt0120082,tt0134084,tt0120890"
nm0000138,Leonardo DiCaprio,1974,\N,"producer,actor,writer","tt1375666,tt0120338,tt0407887,tt0993846"
nm0000139,Cameron Diaz,1972,\N,"actress,producer,soundtrack","tt0259711,tt0129387,tt0160127,tt0119738"
nm0000170,Milla Jovovich,1975,\N,"actress,producer,director","tt0119116,tt1220634,tt0120804,tt1220198"
nm0000179,Jude Law,1972,\N,"actor,producer,director","tt0134119,tt0376541,tt2278388,tt0346156"
nm0000189,Jenny McCarthy-Wahlberg,1972,\N,"actress,producer,writer","tt0327643,tt0455967,tt0134084,tt0131857"
nm0000191,Ewan McGregor,1971,\N,"actor,producer,writer","tt0203009,tt0117951,tt1322269,tt0120915"
nm0000192,Alyssa Milano,1972,\N,"actress,producer,writer","tt0158552,tt0086827,tt0088944,tt0116287"
nm0000202,Ryan Phillippe,1974,\N,"actor,producer,director","tt0375679,tt0280707,tt0139134,tt0120577"
nm0000213,Winona Ryder,1971,\N,"actress,producer,director","tt0110367,tt0100140,tt0099487,tt0118583"
nm0000234,Charlize Theron,1975,\N,"producer,actress,costume_designer","tt0340855,tt1735898,tt1392190,tt5610554"
nm0000242,Mark Wahlberg,1971,\N,"producer,actor,composer","tt0964517,tt0118749,tt0407887,tt1637725"
nm0000251,Timothy Dowling,1973,\N,"actor,writer,script_department","tt2120120,tt0181852,tt1596350,tt0430922"
nm0000255,Ben Affleck,1972,\N,"producer,actor,writer","tt1024648,tt2267998,tt0840361,tt0119217"
nm0000274,David Arquette,1971,\N,"producer,actor,director","tt0134084,tt0151738,tt0120082,tt0271367"
nm0000276,Sean Astin,1971,\N,"actor,producer,director","tt0167261,tt0167260,tt0120737,tt0089218"
nm0000288,Christian Bale,1974,\N,"actor,producer,editorial_department","tt0468569,tt0372784,tt1345836,tt0144084"
nm0000295,Kate Beckinsale,1973,\N,"actress,producer,miscellaneous","tt0401855,tt0320691,tt0338526,tt0452702"
nm0000433,Corey Haim,1971,2010,"actor,producer,soundtrack","tt0093437,tt0095519,tt0090021,tt0091445"
nm0000439,Neil Patrick Harris,1973,\N,"actor,producer,writer","tt4834206,tt0460649,tt2267998,tt0120201"
nm0000441,Noah Hathaway,1971,\N,"actor,miscellaneous,producer","tt0088323,tt0092115,tt0076984,tt0077215"
nm0000449,Natasha Henstridge,1974,\N,"actress,producer,soundtrack","tt0114508,tt0228333,tt0190138,tt0120841"
nm0000477,Mia Kirshner,1975,\N,"actress,archive_footage","tt0277371,tt0387877,tt0115986,tt0285331"
nm0000496,Juliette Lewis,1973,\N,"actress,director,producer","tt1322269,tt0101540,tt0110632,tt0116367"
nm0000497,Jennifer Lien,1974,\N,"actress,producer,script_department","tt0112178,tt0120586,tt0133189,tt0106100"
nm0000504,Amy Locane,1971,\N,"actress,soundtrack","tt0099329,tt0105327,tt0103491,tt0274812"
nm0000535,Rose McGowan,1973,\N,"actress,producer,director","tt1077258,tt0155776,tt0462322,tt0158552"
nm0000569,Gwyneth Paltrow,1972,\N,"actress,producer,director","tt0138097,tt0120148,tt0116191,tt1300854"
nm0000584,Amanda Peterson,1971,2015,"actress,archive_footage","tt0092718,tt0089114,tt0083564,tt0092488"
nm0000586,Jada Pinkett Smith,1971,\N,"producer,actress,writer","tt0242653,tt0114608,tt0120082,tt0369339"
nm0000610,Giovanni Ribisi,1974,\N,"actor,producer,cinematographer","tt0181984,tt0346156,tt0499549,tt0219699"
nm0000612,Denise Richards,1971,\N,"actress,producer,executive","tt0143145,tt0120201,tt0120890,tt0314331"
nm0000637,Tupac Shakur,1971,1996,"music_artist,composer,music_department","tt0104573,tt0107840,tt0109035,tt0118900"
nm0000660,Tami Stronach,1972,\N,"actress,producer,archive_footage","tt0088323,tt12623434,tt3222644,tt6557704"
nm0000676,Chris Tucker,1971,\N,"actor,writer,producer","tt0266915,tt0120812,tt1045658,tt0293564"
nm0000677,Robin Tunney,1972,\N,"actress,soundtrack,archive_footage","tt0115963,tt0190865,tt0112950,tt0146675"
nm0000696,Wil Wheaton,1972,\N,"actor,writer,producer","tt0092005,tt0084649,tt0103112,tt0092455"
nm0000701,Kate Winslet,1975,\N,"actress,producer,writer","tt0338013,tt0120338,tt0959337,tt0976051"
